INGREDIENT,FALSE,BODY PART,ASSOCIATION A,ASSOCIATION B,POTION USE A,POTION USE B,PAIRING
PLANTS,FALSE,,,,,,
Cedar,FALSE,bark / bough,Preservation against moths,Bonsai training,,,
pine,FALSE,"bark, needles, cones",Fire,Affordable lumber,,,
gardenia,TRUE,flower,Nostalgic scent,Hattie McDaniel,,,
pampas grass,TRUE,,Fast growing,Obscuring,,,
virginia creeper,TRUE,leaves,Hearty in disturbed soil,Mistaken for poison ivy,,,
tulip tree,TRUE,flower and leaves,Dugout canoes,Food for tiger swallowtails,,,
longleaf pine,TRUE,cone,Needs fire to replicate,Historic forests of the Southeast,,,
sweetgum,TRUE,seed balls,sharp,annoying,,,
poison ivy,TRUE,leaves,itching,ubiquitous,,,
yellow ladyslipper,TRUE,flower,vaginas,pine forests,The seeds require the presence of a specific Rhizoctonia fungus to germinate and grow. As the plant matures the relationship becomes symbiotic with the fungus.,,
kudzu,FALSE,leaves,enveloping,"introduced to solve a problem, but it created a new problem instead",,,
Dandelion,FALSE,flower,"survives anywhere, like sidewalk cracks","delicate, floating",,,
Magnolia,FALSE,flower,oversized,feminine,,,
scuppernong ,TRUE,grapes,sweet,fermentation,,,
pawpaw,TRUE,seed,delicious,clonal thickets,,,
sycamore,FALSE,bark,,,,,
cypress,FALSE, needles,,,,,
Cypress ,FALSE,knees,,,,,
false parasol,FALSE,mushroom fruit,invasive,ubiquitous,,,
tobacco,FALSE,leaf,,,,,
hollow river cane ,FALSE,stalk,,,,,
coral honeysuckle,FALSE, stamen,,,,,
juniper ,FALSE,berries,,,,,
death cap,FALSE,mushroom fruit,,,,,
wolf's milk mushroom,FALSE,mushroom fruit,,,,,
old man of the woods,FALSE,mushroom fruit,,,,,
cinnabar chantarelle,FALSE,mushroom fruit,,,,,
redbud,FALSE,flower,,,,,
wild pea vine,FALSE,peas,,,,,
native wisteria,FALSE,flowers,,,,,
invasive wisteria,FALSE,flowers,,,,,
,FALSE,,,,,,
ANIMALS,FALSE,,,,,,
bunny,FALSE,ear,,,,,
carolina wren,TRUE,song,,,,,
mockingbird,FALSE,copy of a warbler song,,,,,
luna moth,FALSE, wing,,,,,
raccoon,TRUE,tail stripes,,,,,
cicada ,TRUE,exoskeleton,,,,,
opossum ,TRUE,whisker,,,,,
bluetailed skink,FALSE,tail ,,,,,
swallowtail,FALSE,chrysalis,,,,,
owl pellet,FALSE,,,,,,
vulture ,TRUE,feather,,,,,
indigo bunting,FALSE,blue,,,,,
robin,TRUE,eggs,,,,,
juvenile barred owl,FALSE,hoots ,"nazgul incantation, lord of the rings",demanding,,,
snakes,FALSE,tongue,Prophecy,,,,
owl,FALSE,eyeballs,,,,,
barred owl,FALSE,feather,ancient dinosaur,elegant killer,protection,revenge,
cardinal,FALSE,,,,,,
